장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
까사 비센스,까사 비센스 스페인/포르투갈,유적지 및 관광지,박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EA%B9%8C%EC%82%AC%20%EB%B9%84%EC%84%BC%EC%8A%A4,2026 스페인 포르토 여행
카사 바트요,카사 바트요 스페인/포르투갈,유적지 및 관광지,역사적 명소,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%82%AC%20%EB%B0%94%ED%8A%B8%EC%9A%94,2026 스페인 포르토 여행
마드리드 왕립식물원,마드리드 왕립식물원 스페인/포르투갈,자연 및 공원,식물원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EC%99%95%EB%A6%BD%EC%8B%9D%EB%AC%BC%EC%9B%90,2026 스페인 포르토 여행
프라도 미술관,프라도 미술관 스페인/포르투갈,유적지 및 관광지,미술관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%ED%94%84%EB%9D%BC%EB%8F%84%20%EB%AF%B8%EC%88%A0%EA%B4%80,2026 스페인 포르토 여행
마드리드 왕궁,마드리드 왕궁 스페인/포르투갈,유적지 및 관광지,성곽,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EC%99%95%EA%B6%81,2026 스페인 포르토 여행
Bocadillos Oink Gran Vía,Bocadillos Oink Gran Vía 스페인/포르투갈,식당 및 카페,€1~10,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bocadillos%20Oink%20Gran%20V%C3%ADa,2026 스페인 포르토 여행
Hotel Posada del Lucero | Monumento Nacional,Hotel Posada del Lucero | Monumento Nacional 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Hotel%20Posada%20del%20Lucero%20%7C%20Monumento%20Nacional,2026 스페인 포르토 여행
HOTEL REGINA BARCELONA,HOTEL REGINA BARCELONA 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=HOTEL%20REGINA%20BARCELONA,2026 스페인 포르토 여행
Hotel Cala d'Or,Hotel Cala d'Or 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Hotel%20Cala%20d%27Or,2026 스페인 포르토 여행
쥬스코베르타스 부티크 호텔 포르투,쥬스코베르타스 부티크 호텔 포르투 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%A5%AC%EC%8A%A4%EC%BD%94%EB%B2%A0%EB%A5%B4%ED%83%80%EC%8A%A4%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%ED%98%B8%ED%85%94%20%ED%8F%AC%EB%A5%B4%ED%88%AC,2026 스페인 포르토 여행
카탈로니아 아토차,카탈로니아 아토차 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%ED%83%88%EB%A1%9C%EB%8B%88%EC%95%84%20%EC%95%84%ED%86%A0%EC%B0%A8,2026 스페인 포르토 여행
Le Frog,Le Frog 기타,식당 및 카페,€20~60,기타,https://www.google.com/maps/search/?api=1&query=Le%20Frog,2026 이탈리아 프랑스 여행
La Pecora Pazza,La Pecora Pazza 기타,식당 및 카페,€10~20,기타,https://www.google.com/maps/search/?api=1&query=La%20Pecora%20Pazza,2026 이탈리아 프랑스 여행
Mr.Clood Bistrot,Mr.Clood Bistrot 기타,식당 및 카페,€20~30,기타,https://www.google.com/maps/search/?api=1&query=Mr.Clood%20Bistrot,2026 이탈리아 프랑스 여행
"Via Stefano Canzio, 6","Via Stefano Canzio, 6 기타",숙박,20131 Milano MI,기타,https://www.google.com/maps/search/?api=1&query=Via%20Stefano%20Canzio%2C%206,2026 이탈리아 프랑스 여행
지우펀,지우펀 대만,유적지 및 관광지,원래 목록: 2026 대만,대만,https://www.google.com/maps/search/?api=1&query=%EC%A7%80%EC%9A%B0%ED%8E%80,2026 대만
스펀 천등광장,스펀 천등광장 대만,유적지 및 관광지,주차장,대만,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%ED%8E%80%20%EC%B2%9C%EB%93%B1%EA%B4%91%EC%9E%A5,2026 대만
예류지질공원,예류지질공원 대만,자연 및 공원,자연보호구역,대만,https://www.google.com/maps/search/?api=1&query=%EC%98%88%EB%A5%98%EC%A7%80%EC%A7%88%EA%B3%B5%EC%9B%90,2026 대만
타이베이 시립 동물원,타이베이 시립 동물원 대만,자연 및 공원,동물원,대만,https://www.google.com/maps/search/?api=1&query=%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4%20%EC%8B%9C%EB%A6%BD%20%EB%8F%99%EB%AC%BC%EC%9B%90,2026 대만
타이베이101 전망대,타이베이101 전망대 대만,유적지 및 관광지,관측소,대만,https://www.google.com/maps/search/?api=1&query=%ED%83%80%EC%9D%B4%EB%B2%A0%EC%9D%B4101%20%EC%A0%84%EB%A7%9D%EB%8C%80,2026 대만
중정기념당,중정기념당 대만,유적지 및 관광지,문화적 랜드마크,대만,https://www.google.com/maps/search/?api=1&query=%EC%A4%91%EC%A0%95%EA%B8%B0%EB%85%90%EB%8B%B9,2026 대만
미드타운리처드슨 호텔,미드타운리처드슨 호텔 대만,숙박,4성급 호텔,대만,https://www.google.com/maps/search/?api=1&query=%EB%AF%B8%EB%93%9C%ED%83%80%EC%9A%B4%EB%A6%AC%EC%B2%98%EB%93%9C%EC%8A%A8%20%ED%98%B8%ED%85%94,2026 대만
레이허우,레이허우 대만,식당 및 카페,NT$200~400,대만,https://www.google.com/maps/search/?api=1&query=%EB%A0%88%EC%9D%B4%ED%97%88%EC%9A%B0,대만 식당
은하동(銀河洞-韓式pocha),은하동 대만,식당 및 카페,NT$600~800,대만,https://www.google.com/maps/search/?api=1&query=%EC%9D%80%ED%95%98%EB%8F%99%28%E9%8A%80%E6%B2%B3%E6%B4%9E-%E9%9F%93%E5%BC%8Fpocha%29,대만 식당
키키레스토랑 (att 4 fun 지점),키키레스토랑 대만,식당 및 카페,"NT$400~1,000",대만,https://www.google.com/maps/search/?api=1&query=%ED%82%A4%ED%82%A4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91%20%28att%204%20fun%20%EC%A7%80%EC%A0%90%29,대만 식당
Pizza 4P’s Bao Khanh,Pizza 4P’s Bao Khanh 베트남 하노이,식당 및 카페,피자 레스토랑,베트남 하노이,https://www.google.com/maps/search/?api=1&query=Pizza%204P%E2%80%99s%20Bao%20Khanh,즐겨찾기
Lai Heen,Lai Heen 마카오,식당 및 카페,미슐랭 광둥 요리,마카오,https://www.google.com/maps/search/?api=1&query=Lai%20Heen,가고 싶은 장소
古民家「禅」,古民家「禅」 일본 도쿄,숙박,전통 숙소,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%E5%8F%A4%E6%B0%91%E5%AE%B6%E3%80%8C%E7%A6%85%E3%80%8D,여행 계획
무사시노 산토리 맥주공장,무사시노 산토리 맥주공장 일본 도쿄,식당 및 카페,맥주 브루어리,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EB%AC%B4%EC%82%AC%EC%8B%9C%EB%85%B8%20%EC%82%B0%ED%86%A0%EB%A6%AC%20%EB%A7%A5%EC%A3%BC%EA%B3%B5%EC%9E%A5,여행 계획
워너 브라더스 스튜디오 투어 도쿄 - 메이킹 오브 해리 포터,워너 브라더스 스튜디오 투어 도쿄 - 메이킹 오브 해리 포터 일본 도쿄,유적지 및 관광지,테마 명소,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%EC%9B%8C%EB%84%88%20%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4%20%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4%20%ED%88%AC%EC%96%B4%20%EB%8F%84%EC%BF%84%20-%20%EB%A9%94%EC%9D%B4%ED%82%B9%20%EC%98%A4%EB%B8%8C%20%ED%95%B4%EB%A6%AC%20%ED%8F%AC%ED%84%B0,여행 계획
팀랩 플래닛 도쿄,팀랩 플래닛 도쿄 일본 도쿄,유적지 및 관광지,디지털 아트 전시관,일본 도쿄,https://www.google.com/maps/search/?api=1&query=%ED%8C%80%EB%9E%A9%20%ED%94%8C%EB%9E%98%EB%8B%9B%20%EB%8F%84%EC%BF%84,여행 계획
야키니쿠 규센닌 (焼肉 牛仙人),야키니쿠 규센닌 일본 후쿠오카,식당 및 카페,A5 흑우 와규 야키니쿠,일본 후쿠오카,https://maps.app.goo.gl/HQJiDhj6uRf2G4Pn6,https://www.youtube.com/watch?v=uRbWRQwNlew
이케다 센교 (炉端 池田鮮魚),이케다 센교 일본 후쿠오카,식당 및 카페,이자카야 / 스시 & 카이센동,일본 후쿠오카,https://maps.app.goo.gl/MMfEfHLtzV6bTyq69,https://www.youtube.com/watch?v=uRbWRQwNlew
밴드호텔 하카타 (The Vend Hotel Hakata),밴드호텔 하카타 일본 후쿠오카,숙박,신축 가성비 호텔 / 나카스강 뷰,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%B0%B4%EB%93%9C%ED%98%B8%ED%85%94%20%ED%95%98%EC%B9%B4%ED%83%80%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
스미요시 신사 (住吉神社),스미요시 신사 일본 후쿠오카,유적지 및 관광지,도심 속 전통 신사,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%8A%A4%EB%AF%B8%EC%9A%94%EC%8B%9C%20%EC%8B%A0%EC%82%AC%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
라쿠스이엔 (楽水園),라쿠스이엔 일본 후쿠오카,자연 및 공원,일본식 전통 정원 / 다도 체험,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%9D%BC%EC%BF%A0%EC%8A%A4%EC%9D%B4%EC%97%94%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
나미하노유 온천 (波葉の湯),나미하노유 온천 일본 후쿠오카,유적지 및 관광지,도심형 온천 / 노천탕,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EB%AF%B8%ED%95%98%EB%85%B8%EC%9C%A0%20%EC%98%A8%EC%B2%9C%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
하카타 토요이치 (博多豊一 ベイサイドプレイス博多埠頭店),하카타 토요이치 일본 후쿠오카,식당 및 카페,120엔 스시 / 완간시장,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%95%98%EC%B9%B4%ED%83%80%20%ED%86%A0%EC%9A%94%EC%9D%B4%EC%B9%98%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
나카스 크루즈 (中洲クルーズ),나카스 크루즈 일본 후쿠오카,유적지 및 관광지,나카스강 야경 유람선,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EB%82%98%EC%B9%B4%EC%8A%A4%20%ED%81%AC%EB%A3%A8%EC%A6%88%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=uRbWRQwNlew
캐널시티 하카타 (キャナルシティ博多),캐널시티 하카타 일본 후쿠오카,쇼핑 및 시장,복합 쇼핑몰 / 분수쇼,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%BA%90%EB%84%90%EC%8B%9C%ED%8B%B0%20%ED%95%98%EC%B9%B4%ED%83%80,https://www.youtube.com/watch?v=uRbWRQwNlew
카야노야 하카타점 (茅乃舎 博多),카야노야 하카타점 일본 후쿠오카,쇼핑 및 시장,후쿠오카 아고다시 육수팩 / 고급 기념품,일본 후쿠오카,https://www.google.co.kr/maps/search/?api=1&query=%E4%B9%85%E5%8E%9F%E6%9C%AC%E5%AE%B6%20%E8%8C%85%E4%B9%83%E8%88%8E%20%E5%8D%9A%E5%A4%9A%E9%A7%85%E3%83%87%E3%82%A4%E3%83%88%E3%82%B9%E5%BA%97,https://www.youtube.com/watch?v=uRbWRQwNlew
아마무 다코탄 본점 (AMAM DACOTAN / アマムダコタン 六本松),아마무 다코탄 본점 일본 후쿠오카,식당 및 카페,전설적인 베이커리 / 요리빵 / 마리토초,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%95%84%EB%A7%88%EB%AC%B4%EB%8B%A4%EC%BD%94%ED%83%84%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
효탄 스시 본점 (ひょうたん寿司 本店),효탄 스시 본점 일본 후쿠오카,식당 및 카페,텐진 가성비 스시 노포 / 해산물 안주,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%9A%A8%ED%83%84%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
야마나카 스시 본점 (やま中 本店),야마나카 스시 본점 일본 후쿠오카,식당 및 카페,후쿠오카 정통 고급 스시 / 나나츠보시 런치,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%EC%95%BC%EB%A7%88%EB%82%98%EC%B9%B4%20%EC%8A%A4%EC%8B%9C%20%EB%B3%B8%EC%A0%90%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
아임도넛 후쿠오카점 (I'm donut? 福岡店),아임도넛 후쿠오카점 일본 후쿠오카,식당 및 카페,생도넛 전문점 / 텐진 핫플,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=I%27m%20donut%3F%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
포켓몬센터 후쿠오카 (Pokémon Center Fukuoka),포켓몬센터 후쿠오카 일본 후쿠오카,쇼핑 및 시장,포켓몬 공식 스토어 / 카드 & 굿즈,일본 후쿠오카,https://www.google.com/maps/search/?api=1&query=%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%84%BC%ED%84%B0%20%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4,https://www.youtube.com/watch?v=nl_2zJr9M1k
스시사카바 사시스 하카타점 (すし酒場 さしす 博多店),스시사카바 사시스 하카타점 일본 후쿠오카,식당 및 카페,참치김초밥 / 스시 이자카야,일본 후쿠오카,https://maps.app.goo.gl/QMcx7skSF9fcKpvK7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이몬네 하카타 (芋んね 博多店),이몬네 하카타 일본 후쿠오카,식당 및 카페,모찌 젤라또 / 디저트,일본 후쿠오카,https://maps.app.goo.gl/3Psh24LuQDNumvyq8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
죠스이안 하카타역앞본점 (如水庵 博多駅前本店),죠스이안 하카타역앞본점 일본 후쿠오카,식당 및 카페,딸기모찌 / 전통 화과자,일본 후쿠오카,https://maps.app.goo.gl/QyTZ63moMbmL7fUJ9,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
BOUL'ANGE 하카타점 (블랑제 하카타),BOUL'ANGE 하카타점 일본 후쿠오카,식당 및 카페,크루아상 우유아이스크림 / 베이커리,일본 후쿠오카,https://maps.app.goo.gl/h6A8Pphe37aZKysTA,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
더 게이트 호텔 후쿠오카 바이 훌릭 (THE GATE HOTEL FUKUOKA by HULIC),더 게이트 호텔 후쿠오카 바이 훌릭 일본 후쿠오카,숙박,텐진 럭셔리 신축 호텔,일본 후쿠오카,https://maps.app.goo.gl/W7AtoCswhAhQMd9o9,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
야키토리 마코 (焼鳥 まこ),야키토리 마코 일본 후쿠오카,식당 및 카페,야키토리 코스 / 닭구이,일본 후쿠오카,https://maps.app.goo.gl/Bn48tNHsMsfdaeHK8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
돈키호테 후쿠오카 텐진본점 (ドン・キホーテ 福岡天神本店),돈키호테 후쿠오카 텐진본점 일본 후쿠오카,쇼핑 및 시장,24시간 종합 할인 매장,일본 후쿠오카,https://maps.app.goo.gl/FTqahYeUvTrVUNAy5,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
쿠시아게 하야시 (串揚げはやし),쿠시아게 하야시 일본 후쿠오카,식당 및 카페,쿠시아게 튀김 오마카세,일본 후쿠오카,https://maps.app.goo.gl/HA5DqRw7JgmWTfrK7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
이치란 라멘 본사총본점 (一蘭 本社総本店),이치란 라멘 본사총본점 일본 후쿠오카,식당 및 카페,돈코츠 라멘 본점,일본 후쿠오카,https://maps.app.goo.gl/1AE859nq5Mkz7Ky79,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
사바타로 (サバ太郎),사바타로 일본 후쿠오카,식당 및 카페,고등어 솥밥 아침 정식 / 조식,일본 후쿠오카,https://maps.app.goo.gl/9MXf1ctDwoMpZSEX6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
스시 사카이 (鮨 さかい),스시 사카이 일본 후쿠오카,식당 및 카페,미슐랭 3스타 스시 오마카세,일본 후쿠오카,https://maps.app.goo.gl/xVzbJcp16iQqpbDg6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
팡스톡 텐진점 (stock / 빵스톡 & 코에도 커피),팡스톡 텐진점 일본 후쿠오카,식당 및 카페,명란 바게트 / 하레노가든,일본 후쿠오카,https://maps.app.goo.gl/gSLkzMgH5hS7p6ND6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
미츠이모 타임 야쿠인점 (蜜芋 TIME),미츠이모 타임 야쿠인점 일본 후쿠오카,식당 및 카페,군고구마 디저트 / 아이스크림,일본 후쿠오카,https://maps.app.goo.gl/HXVbmkUqG69ng53X8,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
나가라쿠 (炉端 ながらく),나가라쿠 일본 후쿠오카,식당 및 카페,숯불 로바타야키 이자카야,일본 후쿠오카,https://maps.app.goo.gl/vEt545koTipr16ps5,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
효고토리 (ひょうご鳥),효고토리 일본 후쿠오카,식당 및 카페,닭구이 코스 / 야키토리,일본 후쿠오카,https://maps.app.goo.gl/3zcy1k4f9TQi8poP7,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
후르츠 가든 신선 (フルーツガーデン 新鮮),후르츠 가든 신선 일본 후쿠오카,식당 및 카페,과일 샌드 / 후르츠 산도,일본 후쿠오카,https://maps.app.goo.gl/YqiuvNHdURL9L5wd6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
다코멧카 (DACOMECCA / ダコメッカ),다코멧카 일본 후쿠오카,식당 및 카페,하카타역 베이커리 카페 / 소시지빵,일본 후쿠오카,https://maps.app.goo.gl/g1Wtx2UuXJKhXQ1X6,https://www.youtube.com/watch?v=hFfFzE1kzts&t=541s
