장소 이름,검색위치,카테고리,세부 태그/설명,지역,구글 지도 링크,출처
까사 비센스,까사 비센스 스페인/포르투갈,유적지 및 관광지,박물관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EA%B9%8C%EC%82%AC%20%EB%B9%84%EC%84%BC%EC%8A%A4,2026 스페인 포르토 여행
카사 바트요,카사 바트요 스페인/포르투갈,유적지 및 관광지,역사적 명소,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%EC%82%AC%20%EB%B0%94%ED%8A%B8%EC%9A%94,2026 스페인 포르토 여행
마드리드 왕립식물원,마드리드 왕립식물원 스페인/포르투갈,자연 및 공원,식물원,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EC%99%95%EB%A6%BD%EC%8B%9D%EB%AC%BC%EC%9B%90,2026 스페인 포르토 여행
프라도 미술관,프라도 미술관 스페인/포르투갈,유적지 및 관광지,미술관,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%ED%94%84%EB%9D%BC%EB%8F%84%20%EB%AF%B8%EC%88%A0%EA%B4%80,2026 스페인 포르토 여행
마드리드 왕궁,마드리드 왕궁 스페인/포르투갈,유적지 및 관광지,성곽,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EB%A7%88%EB%93%9C%EB%A6%AC%EB%93%9C%20%EC%99%95%EA%B6%81,2026 스페인 포르토 여행
Bocadillos Oink Gran Vía,Bocadillos Oink Gran Vía 스페인/포르투갈,식당 및 카페,€1~10,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Bocadillos%20Oink%20Gran%20V%C3%ADa,2026 스페인 포르토 여행
Hotel Posada del Lucero | Monumento Nacional,Hotel Posada del Lucero | Monumento Nacional 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Hotel%20Posada%20del%20Lucero%20%7C%20Monumento%20Nacional,2026 스페인 포르토 여행
HOTEL REGINA BARCELONA,HOTEL REGINA BARCELONA 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=HOTEL%20REGINA%20BARCELONA,2026 스페인 포르토 여행
Hotel Cala d'Or,Hotel Cala d'Or 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=Hotel%20Cala%20d%27Or,2026 스페인 포르토 여행
쥬스코베르타스 부티크 호텔 포르투,쥬스코베르타스 부티크 호텔 포르투 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%A5%AC%EC%8A%A4%EC%BD%94%EB%B2%A0%EB%A5%B4%ED%83%80%EC%8A%A4%20%EB%B6%80%ED%8B%B0%ED%81%AC%20%ED%98%B8%ED%85%94%20%ED%8F%AC%EB%A5%B4%ED%88%AC,2026 스페인 포르토 여행
카탈로니아 아토차,카탈로니아 아토차 스페인/포르투갈,숙박,4성급 호텔,스페인/포르투갈,https://www.google.com/maps/search/?api=1&query=%EC%B9%B4%ED%83%88%EB%A1%9C%EB%8B%88%EC%95%84%20%EC%95%84%ED%86%A0%EC%B0%A8,2026 스페인 포르토 여행
